,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,5.282255260541779,10.134808540344238,16.309581756591797,9.0,12.0
1,1.4372806719925268,14.248512268066406,17.66046142578125,9.0,12.0
2,5.3766632437318975,10.013830184936523,16.323326110839844,9.0,12.0
3,5.7672176328356874,9.57020378112793,16.3103084564209,9.0,12.0
4,6.295687274295125,9.0,16.22372817993164,9.0,12.0
5,6.5189917396598,9.0,15.930548667907715,9.0,12.0
6,7.0036742794708555,9.0,15.256921768188477,9.0,12.0
7,7.699555134991016,9.0,14.18398380279541,9.0,12.0
8,8.726138080116822,9.0,12.333625793457031,9.0,12.0
9,8.910317960445177,9.0,12.0,9.0,12.0
10,8.910317960445177,9.0,12.0,9.0,12.0
11,8.910317960445177,9.0,12.0,9.0,12.0
12,8.910317960445177,9.0,12.0,9.0,12.0
