rho,Am,range_of_motion
10.0,400,5.20093467122031
10.0,417,5.200929114689714
10.0,450,5.200961601573606
10.0,457,5.200605200600197
10.0,500,5.198608224495782
10.4,400,5.153345745682106
10.4,417,5.15386721895641
10.4,450,5.154470827528744
10.4,457,5.154418416110271
10.4,500,5.153557895291023
10.5,400,5.141627615993304
10.5,417,5.142143210669811
10.5,450,5.142823813978218
10.5,457,5.142983263847704
10.5,500,5.142218311563475
10.6,400,5.129804717254007
10.6,417,5.130524513772251
10.6,450,5.130814009424121
10.6,457,5.1313081219810215
10.6,500,5.130524513772251
11.0,400,5.083162173113351
11.0,417,5.084222574910726
11.0,450,5.085429319026435
11.0,457,5.085760067882269
11.0,500,5.085901543075082
