,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,8.910317960445177,9.0,12.0,9.0,12.0
1,8.632169570365685,9.0,12.5,9.0,12.0
2,8.371378601832015,9.0,13.0,9.0,12.0
3,8.099025352473635,9.0,13.5,9.0,12.0
4,7.810202961189731,9.0,14.0,9.0,12.0
5,7.503765483860107,9.0,14.5,9.0,12.0
6,7.178515845053768,9.0,15.0,9.0,12.0
7,6.833239864877045,9.0,15.5,9.0,12.0
8,6.466785219749869,9.0,16.0,9.0,12.0
9,6.0781834776836,9.0,16.5,9.0,12.0
10,5.666853892797007,9.0,17.0,9.0,12.0
11,5.232928536848123,9.0,17.5,9.0,12.0
12,4.777744774726488,9.0,18.0,9.0,12.0
13,8.63217591480737,9.5,12.0,9.0,12.0
14,8.371378662166745,9.5,12.5,9.0,12.0
15,8.09902565439911,9.5,13.0,9.0,12.0
16,7.810202873506252,9.5,13.5,9.0,12.0
17,7.503765093966124,9.5,14.0,9.0,12.0
18,7.1785150010602425,9.5,14.5,9.0,12.0
19,6.833238167179776,9.5,15.0,9.0,12.0
20,6.4667810560040255,9.5,15.5,9.0,12.0
21,6.078176872355689,9.5,16.0,9.0,12.0
22,5.666845909160819,9.5,16.5,9.0,12.0
23,5.2329182367275955,9.5,17.0,9.0,12.0
24,4.777733581131276,9.5,17.5,9.0,12.0
25,4.30455127578178,9.5,18.0,9.0,12.0
26,8.37137918320801,10.0,12.0,9.0,12.0
27,8.099025594629888,10.0,12.5,9.0,12.0
28,7.810203256322243,10.0,13.0,9.0,12.0
29,7.503765142425364,10.0,13.5,9.0,12.0
30,7.178514648682032,10.0,14.0,9.0,12.0
31,6.833237114224092,10.0,14.5,9.0,12.0
32,6.466778814326094,10.0,15.0,9.0,12.0
33,6.078172032670805,10.0,15.5,9.0,12.0
34,5.66683775028617,10.0,16.0,9.0,12.0
35,5.232908150536751,10.0,16.5,9.0,12.0
36,4.777721613827929,10.0,17.0,9.0,12.0
37,4.304540503615163,10.0,17.5,9.0,12.0
38,3.8194603432887195,10.0,18.0,9.0,12.0
39,8.099026549610866,10.5,12.0,9.0,12.0
40,7.8102032493595255,10.5,12.5,9.0,12.0
41,7.503765860578297,10.5,13.0,9.0,12.0
42,7.178514744081137,10.5,13.5,9.0,12.0
43,6.833236520825352,10.5,14.0,9.0,12.0
44,6.466777837237858,10.5,14.5,9.0,12.0
45,6.078169900687215,10.5,15.0,9.0,12.0
46,5.666832578606607,10.5,15.5,9.0,12.0
47,5.232899329683537,10.5,16.0,9.0,12.0
48,4.777711075731757,10.5,16.5,9.0,12.0
49,4.304529181391217,10.5,17.0,9.0,12.0
50,3.8194523859199467,10.5,17.5,9.0,12.0
51,3.3322860486043133,10.5,18.0,9.0,12.0
52,7.8102035780926,11.0,12.0,9.0,12.0
53,7.503766596950694,11.0,12.5,9.0,12.0
54,7.178515812722304,11.0,13.0,9.0,12.0
55,6.8332377357512355,11.0,13.5,9.0,12.0
56,6.466778478767264,11.0,14.0,9.0,12.0
57,6.078169565802723,11.0,14.5,9.0,12.0
58,5.666830959564956,11.0,15.0,9.0,12.0
59,5.23289546123736,11.0,15.5,9.0,12.0
60,4.777703961998791,11.0,16.0,9.0,12.0
61,4.304521107551761,11.0,16.5,9.0,12.0
62,3.8194441569047104,11.0,17.0,9.0,12.0
63,3.3322821382444694,11.0,17.5,9.0,12.0
64,2.85668398357876,11.0,18.0,9.0,12.0
65,7.503768124785008,11.5,12.0,9.0,12.0
66,7.178517598404504,11.5,12.5,9.0,12.0
67,6.833239747224888,11.5,13.0,9.0,12.0
68,6.466781348894614,11.5,13.5,9.0,12.0
69,6.078172406729617,11.5,14.0,9.0,12.0
70,5.6668340286235415,11.5,14.5,9.0,12.0
71,5.232897467711183,11.5,15.0,9.0,12.0
72,4.777703678556977,11.5,15.5,9.0,12.0
73,4.304517923035604,11.5,16.0,9.0,12.0
74,3.8194403419837446,11.5,16.5,9.0,12.0
75,3.332278424385862,11.5,17.0,9.0,12.0
76,2.8566841509405947,11.5,17.5,9.0,12.0
77,2.4084929868472855,11.5,18.0,9.0,12.0
78,7.178520760368228,12.0,12.0,9.0,12.0
79,6.833244326304795,12.0,12.5,9.0,12.0
80,6.466786472146829,12.0,13.0,9.0,12.0
81,6.078179629507511,12.0,13.5,9.0,12.0
82,5.66684189067324,12.0,14.0,9.0,12.0
83,5.232905691991595,12.0,14.5,9.0,12.0
84,4.777711639531686,12.0,15.0,9.0,12.0
85,4.304523726276354,12.0,15.5,9.0,12.0
86,3.819442794616684,12.0,16.0,9.0,12.0
87,3.332278915655987,12.0,16.5,9.0,12.0
88,2.85668442740284,12.0,17.0,9.0,12.0
89,2.408492385158377,12.0,17.5,9.0,12.0
90,2.0020250783748317,12.0,18.0,9.0,12.0
91,6.833251004570808,12.5,12.0,9.0,12.0
92,6.4667955328539195,12.5,12.5,9.0,12.0
93,6.078190532893897,12.5,13.0,9.0,12.0
94,5.666855534871825,12.5,13.5,9.0,12.0
95,5.232922327407168,12.5,14.0,9.0,12.0
96,4.777729163462162,12.5,14.5,9.0,12.0
97,4.304540244050301,12.5,15.0,9.0,12.0
98,3.8194548514247444,12.5,15.5,9.0,12.0
99,3.332285598366159,12.5,16.0,9.0,12.0
100,2.8566857668531718,12.5,16.5,9.0,12.0
